Title,Link,Date,Text
"STUDY: VEGETARIANS LIVE LONGER, CUT DISEASE RISK",https://vegnews.com/2012/10/study-vegetarians-live-longer-cut-disease-risk,"OCTOBER 15, 2012","Loma Linda University’s School of Public Health recently released some of the findings from its current Adventist Health Study-2, and the results make a convincing argument for plant-based eating. The study is currently following roughly 96,000 Seventh-day Adventists with a variety of dietary habits, although many Adventists are vegetarian or vegan due to religious belief. Vegetarian Adventist men were found to live to an average age of 83.3, 9.5 years longer than other Californian citizens, and women to 85.7, 6.1 years longer than their omnivorous counterparts. Additionally, the study found that men who consume beef more than three times per week are more than twice as likely to die of heart disease, and women with a diet high in meat and cheese have a more than doubled risk of developing ovarian cancer. Loma Linda University includes more details and statistics on its official website for the study. "
NEW RAW VEGAN EATERY TO OPEN IN HOUSTON,https://vegnews.com/2012/10/new-raw-vegan-eatery-to-open-in-houston,"OCTOBER 15, 2012","Texan restaurateur Delia Pisarro has announced that she will open a new raw vegan restaurant in the Montrose neighborhood of Houston this December. Pisarro plans to create two vegan menus—one for patrons seeking raw food, and the other specifically for cooked cuisine. Coconut kale enchiladas, mushroom tacos, eggplant stacks, and Asian-style bowls are some of the menu items currently being discussed. Pisarro tells Culture Map, “People think about vegan food and are like, blehh …. My food has flavor.” The restaurateur previously opened Dallas-based VSpot Vegan Café and Bliss Raw Café and Elixir Bar, but has sold both businesses. "
MICHAEL VICK REVEALS OWNERSHIP OF COMPANION DOG,https://vegnews.com/2012/10/michael-vick-reveals-ownership-of-companion-dog,"OCTOBER 14, 2012","Due to speculation after posting a photo to Twitter with a box of dog treats visible in his home, Philadelphia Eagles quarterback Michael Vick—who was convicted of felony dog-fighting charges in 2007—told gossip outlet TMZ last week that his family does indeed have a companion dog now. “I understand the strong emotions … about our family’s decision to care for a pet. As a father, it is important to make sure my children develop a healthy relationship with animals … Our pet is well cared for and loved … This is an opportunity to break the cycle … I will continue to honor my commitment to animal welfare and be an instrument of positive change.” Vick previously teamed up with The Humane Society of the United States for a campaign aimed at raising awareness of animal cruelty. "
EATING VEGETABLES AND FRUIT CAN INCREASE HAPPINESS,https://vegnews.com/2012/10/eating-vegetables-and-fruit-can-increase-happiness,"OCTOBER 14, 2012","In a study conducted by the University of Warwick and Dartmouth College researchers and published in the journal Social Indicators Research, a group of participants’ mental well-being was observed as well as the amount of produce the participants consumed. Researchers found that the participants that consumed approximately seven 80-gram servings of fruit and vegetables each day felt the happiest. The study ran from 2007 to 2010 and was comprised of 80,000 people from Great Britain. The study’s findings confirm the belief that a high intake of produce is not only beneficial to physical health, but to mental health as well. "
ALICIA SILVERSTONE ASKS FOR BOOK CONTRIBUTORS,https://vegnews.com/2012/10/alicia-silverstone-asks-for-book-contributors,"OCTOBER 14, 2012","In August, VegNews reported that Alicia Silverstone had two more books in the works, including a pregnancy-related book: The Kind Mama. On October 10, the vegan actress and author published a post on her blog thekindlife.com asking if any readers would like to share their vegan pregnancy stories to be featured in the tome. Interested followers are asked to answer questions such as “Did you ever hesitate about having a vegan pregnancy?” and “During your pregnancy, how did you deal with naysayers?” The Kind Mama is due out in 2014, along with the culinary follow-up to The Kind Diet—The Kind Cookbook. "
VEGAN RYE COOKIES,https://vegnews.com/2012/10/vegan-rye-cookies,"OCTOBER 14, 2012","When the concept of a rye-based cookie was presented to us, we were a little skeptical. See, when we think of rye, we imagine a big ol’ vegan Reuben, not a dessert-y baked good. But we were blown away once we actually got a taste of New York-based Black and Blanco’s Sandcastles—flavors like Vanilla Black Sesame, Marzipan, and Maple-Dusted Cardamom truly embody the best of both East and West, offering a gentle sweetness and crisp but buttery texture with a generous dose of rich flavor. We also love that they’re organic and free of wheat, GMOs, preservatives, and refined sugars, as well as corn, soy, and canola. Sometimes, less really is more. "
HOW TO SURVIVE A CROSS-COUNTRY VEGAN ROAD TRIP,https://vegnews.com/2012/10/how-to-survive-a-cross-country-vegan-road-trip,"OCTOBER 14, 2012","How many times have you wanted to get in your car and drive away? Grab your best friend or your partner, or perhaps go solo, and hit the road, Jack Kerouac style? Driving across the country is indeed the stuff that dreams are made of. And then, just like that, we were given our chance. Mariann, who teaches animal law at a handful of schools in New York City, was invited to teach for a semester at the prestigious Lewis & Clark Law School Center for Animal Law in Portland, OR. Since we could hardly leave home for six months without bringing our Vitamix, our podcast microphone, or our glorious rescued pit bull, Rose, air travel seemed out of the question. And what better way to really see America than to get in the Grandmamobile (our loving nickname for Jasmin’s grandmother’s 2005 Buick), skip the interstates, and hit the two-lane highways that go smack through the heartland?

Throughout our 19-day journey, we traversed New York, New Jersey, Pennsylvania, Ohio, Michigan, Indiana, Illinois, Kansas, Missouri, Iowa, Nebraska, Wyoming, Montana, Idaho, Washington, and Oregon. Not bad for a couple of carless New Yorkers who consider a trip to Brooklyn to be a major commitment.

Just as we’d dreamed, while taking Our Hen House on the road, we got a sneak peek into vegan restaurants, microbreweries, farmed-animal sanctuaries, the homes of vegan cookbook authors, and animal-rights events—not to mention the opportunity to connect with folks everywhere working to end animal cruelty. Fortunately, we ignored advice from podcast listeners urging us to pack freeze-dried food (“This is not New York, girls! You will starve!”), and, as a result, our experience was anything but deprived. The proof is in the vegan pudding. Things are starting to change, and people are beginning to wake up everywhere you go.

With that, we bring you our top five highlights from traveling the country the vegan way, followed by tips for anyone interested in following our bread crumb trail and taking off on your own vegan gallivant.

5 Highlights from the Vegan Road As you can see, our big vegan road trip was full of ethically sourced surprises and delicious detours. For those of you planning your own road trip, here are some tips we picked up.

5 Tips for the Vegan Road-Tripper As the story goes, we are now finally settling into Portland life—one that is full of healthy “bowls,” half-marathons, and, yes, rainy days. And though it’s hard to believe, it’s almost time to pack our Vitamix and our dog, and head back to New York City, on our second glorious road trip of the year. Taking a different route eastbound, we will yet again be venturing onto undiscovered terrain even better equipped than before and unable to contain our excitement about what the next bend in the road has in store.


Jasmin Singer and Mariann Sullivan are the founders of Our Hen House, a multimedia hub of opportunities to change the world for animals, and the hosts of the popular Our Hen House podcast. Follow @ourhenhouse on Twitter. "
COLBERT REPORT STUDIOS GO MEAT-FREE FOR MORRISSEY,https://vegnews.com/2012/10/colbert-report-studios-go-meat-free-for-morrissey,"OCTOBER 13, 2012","For his October 9 appearance on The Colbert Report, vegetarian rocker Morrissey requested that the show’s studio space and green room become a meat-free environment. Host and comedian Stephen Colbert broached the subject of Morrissey’s request during their on-air interview, calling the British musician a militant vegetarian and joking about being woozy from a lack of bacon. The rocker retorted that animals are conscious beings who are “nicer than humans,” and that just because one’s grandmother “will probably be tasty” doesn’t equate to a reasonable explanation to eat her. Colbert and the show’s staff went vegetarian for the day to honor the Meat is Murder star’s stance—a request he makes of all the venues he visits while on tour. "
CONSUMPTION OF TOMATOES LOWERS RISK OF STROKE,https://vegnews.com/2012/10/consumption-of-tomatoes-lowers-risk-of-stroke,"OCTOBER 12, 2012","Tomatoes have been making headlines recently for their ability to decrease the likelihood of stroke among men. In a 12-year study of more than 1,000 Finnish men ranging in age from 46 to 65, researchers monitored lycopene levels (an antioxidant found in tomatoes) and recorded whether participants suffered strokes. The study revealed that those with high blood levels of lycopene had a 55 percent reduced chance of having a stroke. Tomatoes are among many disease-fighting fruits and vegetables, which help prevent cancer, inflammation, and high blood pressure, as well as other afflictions. Stroke is one of the leading causes of death in the United States. "
CELEBRITIES SHARE STORIES OF MISTREATED ANIMALS,https://vegnews.com/2012/10/celebrities-share-stories-of-mistreated-animals,"OCTOBER 11, 2012","Farm Sanctuary has just launched Animal Tales, a new web series that features Hollywood stars sharing some of the farm’s most fascinating and touching stories of animals that have overcome cruel treatment and abuse. Farm Sanctuary President Gene Baur believes that many people are not aware of the merciless conditions of most farms in the United States, and he hopes that Animal Tales will help people achieve a deeper understanding for the lives of farm animals. The series will feature celebrities such as Juno actress Allison Janney, Parenthood actor John Corbett, and Spanglish actress Téa Leoni. Photo via Talk of the Hill "
